timestamp,open,high,low,close,volume,swing_high,swing_low,recent_swing_high,recent_swing_low,avg_volume,momentum,bullish_mss,bearish_mss,mss,bullish_fvg,bearish_fvg,fvg,candle_pct_change,bullish_ob,bearish_ob,ob,liquidity_grab_up,liquidity_grab_down,liquidity_grab,premium_discount,bullish_breaker,bearish_breaker,breaker_block,ote_bullish,ote_bearish,ote
2026-04-12 22:15:00,70939.9,70953.3,70568.7,70613.6,1.19680296,False,False,0.0,0.0,0.0,-0.004599668169816822,0,0,0,0,0,0,-0.004599668169816822,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-12 22:30:00,70637.7,70913.5,70516.4,70841.5,0.3660393,False,False,0.0,0.0,0.0,0.002885144901377068,0,0,0,0,0,0,0.002885144901377068,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-12 22:45:00,70814.0,70921.6,70783.3,70921.6,0.05455535,False,False,0.0,0.0,0.0,0.0015194735504279638,0,0,0,0,0,0,0.0015194735504279638,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-12 23:00:00,70900.3,70900.3,70630.6,70630.6,1.42028618,False,False,0.0,0.0,0.0,-0.0038039331286327006,0,0,0,0,0,0,-0.0038039331286327006,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-12 23:15:00,70605.0,70737.0,70600.3,70737.0,0.18126395,False,False,0.0,0.0,0.0,0.0018695559804546421,0,0,0,0,1,-1,0.0018695559804546421,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-12 23:30:00,70676.5,70683.7,70598.7,70683.7,0.32973793,False,False,0.0,0.0,0.0,0.00010187261678205753,0,0,0,0,0,0,0.00010187261678205753,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-12 23:45:00,70671.4,70760.7,70588.9,70760.7,0.01977359,False,False,0.0,0.0,0.0,0.0012635946082857126,0,0,0,0,0,0,0.0012635946082857126,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 00:00:00,70718.9,70910.6,70621.7,70910.6,0.93886051,False,False,0.0,0.0,0.0,0.002710732208787349,0,0,0,0,0,0,0.002710732208787349,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 00:15:00,70917.2,71034.5,70838.9,71034.5,0.29122528,False,False,0.0,0.0,0.0,0.001654041614728203,0,0,0,1,0,1,0.001654041614728203,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 00:30:00,70977.0,71099.6,70977.0,71061.2,0.29394825,False,False,0.0,0.0,0.0,0.0011862997872549852,0,0,0,1,0,1,0.0011862997872549852,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 00:45:00,71039.1,71219.4,71039.1,71134.6,0.34818099,False,False,0.0,0.0,0.0,0.0013443300942720276,0,0,0,1,0,1,0.0013443300942720276,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 01:00:00,71187.4,71206.6,71122.0,71139.7,0.40860627,False,False,0.0,0.0,0.0,-0.0006700623986828721,0,0,0,1,0,1,-0.0006700623986828721,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 01:15:00,71129.9,71158.9,71067.6,71074.2,1.72199125,False,False,0.0,0.0,0.0,-0.0007830743470748179,0,0,0,0,0,0,-0.0007830743470748179,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 01:30:00,71107.2,71170.4,71064.0,71131.4,0.01735082,False,False,0.0,0.0,0.0,0.000340331218216961,0,0,0,0,0,0,0.000340331218216961,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 01:45:00,71162.8,71204.4,71135.7,71204.4,0.02785862,False,False,0.0,0.0,0.0,0.000584575086983526,0,0,0,0,0,0,0.000584575086983526,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 02:00:00,71196.0,71234.4,71004.0,71004.0,0.10214273,False,False,0.0,0.0,0.0,-0.0026967807180178663,0,0,0,0,0,0,-0.0026967807180178663,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 02:15:00,71006.1,71237.8,71006.1,71202.3,0.13632149,False,False,0.0,0.0,0.0,0.00276314288490703,0,0,0,0,0,0,0.00276314288490703,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 02:30:00,71250.9,71261.8,71050.0,71064.3,0.21123105,False,False,0.0,0.0,0.0,-0.0026189142873983525,0,0,0,0,0,0,-0.0026189142873983525,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 02:45:00,71046.7,71063.9,71040.6,71054.5,0.15312734,False,False,0.0,0.0,0.0,0.00010978694295446391,0,0,0,0,0,0,0.00010978694295446391,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 03:00:00,71072.1,71117.1,70999.5,71036.1,0.55653815,False,False,0.0,0.0,0.4387921005,-0.000506527878028087,0,0,0,0,0,0,-0.000506527878028087,0,0,0,0,0,0,-1.0,0,0,0,0,0,0
2026-04-13 03:15:00,71050.8,71147.5,71017.9,71053.6,1.84547138,False,False,0.0,0.0,0.47122552149999997,3.940842326902597e-05,0,0,0,0,0,0,3.940842326902597e-05,0,0,0,0,0,0,-1.0,0,0,0,0,0,0
2026-04-13 03:30:00,71044.1,71045.2,70914.9,70968.8,1.09053343,False,False,0.0,0.0,0.507450228,-0.001059905044894691,0,0,0,0,0,0,-0.001059905044894691,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 03:45:00,70950.0,70989.0,70948.3,70979.8,0.00415467,False,False,0.0,0.0,0.504930194,0.0004200140944327401,0,0,0,0,1,-1,0.0004200140944327401,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 04:00:00,70992.3,70992.3,70952.6,70952.6,0.11336155,False,False,0.0,0.0,0.4395839625,-0.0005592155769005525,0,0,0,0,0,0,-0.0005592155769005525,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 04:15:00,70965.9,71035.2,70931.1,71035.2,0.06969436,False,False,0.0,0.0,0.43400548299999997,0.0009765253452715025,0,0,0,0,0,0,0.0009765253452715025,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 04:30:00,71060.0,71147.1,71060.0,71066.8,1.84156552,False,False,0.0,0.0,0.5095968625,9.569377990434718e-05,0,0,0,1,0,1,9.569377990434718e-05,0,0,0,0,0,0,-1.0,0,0,0,0,0,0
2026-04-13 04:45:00,70992.5,70994.4,70862.5,70904.0,0.47165833,False,False,0.0,0.0,0.5321910995,-0.0012466105574532522,0,0,0,0,0,0,-0.0012466105574532522,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 05:00:00,70906.2,70911.4,70790.9,70820.2,0.01801773,False,True,0.0,70790.9,0.4861489605,-0.0012128699605958295,0,0,0,0,1,-1,-0.0012128699605958295,0,0,0,0,0,0,1.0,0,0,0,0,0,0
2026-04-13 05:15:00,70845.4,70867.4,70776.8,70865.2,0.06328024,False,True,0.0,70776.8,0.47475170850000004,0.00027948180121790424,0,0,0,0,0,0,0.00027948180121790424,0,0,0,0,0,0,1.0,0,0,0,0,0,0
2026-04-13 05:30:00,70776.7,70818.7,70721.6,70766.2,0.16326448,False,True,0.0,70721.6,0.46821751999999994,-0.00014835390742998756,0,0,0,0,0,0,-0.00014835390742998756,0,0,0,0,0,0,1.0,0,0,0,0,0,0
2026-04-13 05:45:00,70764.7,70892.6,70764.7,70861.9,0.16258075,False,False,0.0,70721.6,0.458937508,0.0013735661989663927,0,0,0,0,0,0,0.0013735661989663927,0,0,0,0,0,0,1.0,0,0,0,0,0,0
2026-04-13 06:00:00,70886.9,70994.3,70886.9,70994.3,0.06089489,False,False,0.0,70721.6,0.441551939,0.0015150895299414805,0,0,0,1,0,1,0.0015150895299414805,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 06:15:00,70994.3,71049.9,70994.2,71036.9,0.31153866,False,False,0.0,70721.6,0.3710293095,0.0006000481728813618,0,0,0,1,0,1,0.0006000481728813618,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 06:30:00,71020.6,71020.6,71010.5,71017.8,0.00352615,False,False,0.0,70721.6,0.370338076,-3.942518086305818e-05,0,0,0,1,0,1,-3.942518086305818e-05,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 06:45:00,71038.3,71088.6,71036.5,71036.5,0.20061162,False,False,0.0,70721.6,0.37897572599999996,-2.533844419141379e-05,0,0,0,0,0,0,-2.533844419141379e-05,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 07:00:00,71056.7,71056.7,70905.4,70908.6,0.07104017,False,False,0.0,70721.6,0.377420598,-0.002084251027700291,0,0,0,0,0,0,-0.002084251027700291,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2026-04-13 07:15:00,70905.2,70905.2,70713.7,70725.7,0.41251998,False,True,0.0,70713.7,0.3912305225,-0.002531549167056859,0,0,0,0,1,-1,-0.002531549167056859,0,0,0,0,0,0,1.0,0,0,0,0,0,0
2026-04-13 07:30:00,70729.6,70804.2,70712.9,70772.7,1.14068787,False,True,0.0,70712.9,0.4377033635,0.0006093629824004556,0,0,0,0,1,-1,0.0006093629824004556,0,0,0,0,0,0,1.0,0,0,0,0,0,0
2026-04-13 07:45:00,70793.6,70830.9,70776.3,70816.4,0.13371926,False,False,0.0,70712.9,0.4367329594999999,0.0003220630113454939,0,0,0,0,0,0,0.0003220630113454939,0,0,0,0,0,0,1.0,0,0,0,0,0,0
2026-04-13 08:00:00,70823.1,70864.4,70736.4,70738.3,0.23996878,False,False,0.0,70712.9,0.42090449099999994,-0.001197349452367983,0,0,0,0,0,0,-0.001197349452367983,0,0,0,0,0,0,1.0,0,0,0,0,0,0
2026-04-13 08:15:00,70749.0,71031.3,70711.3,70769.6,21.49429405,False,True,0.0,70711.3,1.4033456245,0.00029117019321836095,0,0,0,0,0,0,0.00029117019321836095,0,0,0,0,0,0,1.0,0,0,0,0,0,0
2026-04-13 08:30:00,70756.7,70771.7,70636.2,70636.2,3.97276646,False,True,0.0,70636.2,1.5474572759999998,-0.0017030189367226002,0,0,0,0,0,0,-0.0017030189367226002,0,0,0,0,0,0,1.0,0,0,0,0,0,0
